Biała Podlaska,Białystok,Bielsko - Biała,Bydgoszcz,Chełm,Ciechanów,Cieszyn,Częstochowa,Elbląg,Gdańsk,Gorzów Wielkopolski,Jelenia Góra,Kalisz,Katowice,Kielce,Konin,Koszalin,Kraków,Krosno,Legnica,Leszno,Lublin,Łomża,Łódź,Nowy Sącz,Olsztyn,Opole,Ostrołęka,Piła,Piotrków Trybunalski,Płock,Poznań,Przemyśl,Radom,Rzeszów,Siedlce,Sieradz,Skierniewice,Słupsk,Suwałki,Szczecin,Tarnobrzeg,Tarnów,Toruń,Wałbrzych,Warszawa,Włocławek,Wrocław,Zakopane,Zamość,Zielona Góra
Nowy Sącz,442.232,559.281,156.956,586.055,339.784,455.956,197.871,250.303,641.185,693.543,652.75,473.713,421.116,188.257,171.68,495.536,896.921,109.826,91.515,439.839,484.719,320.817,511.452,376.248,0,575.976,298.943,490.651,658.735,259.658,476.063,568.478,230.858,270.135,151.543,423.294,359.161,329.225,773.648,661.403,762.678,175.692,61.077,533.138,444.745,365.608,480.831,379.849,98.566,291.025,549.682
Olsztyn,344.005,228.257,531.038,232.692,459.548,119.643,553.961,401.741,111.584,167.238,490.382,624.049,337.4,473.67,389.646,299.864,359.203,501.748,556.504,590.176,391.747,387.486,145.565,298.671,575.976,0,496.513,125.72,318.074,328.952,176.376,341.489,616.009,314.372,526.052,271.242,359.169,234.839,300.8,194.624,483.48,450.462,514.582,169.321,593.605,213.098,218.01,512.943,615.258,478.06,484.649
Opole,502.636,529.486,169.318,431.07,544.156,379.129,156.439,101.913,589.814,538.558,373.902,194.865,150.467,110.252,279.607,205.231,618.074,190.695,372.944,160.992,205.872,470.143,481.657,205.817,298.943,496.513,0,455.934,375.701,173.929,324.165,285.444,434.486,357.861,355.171,434.046,142.283,277.388,550.194,626.686,479.644,379.319,271.031,381.24,161.711,337.759,328.932,96.815,287.058,494.653,266.648
Ostrołęka,185.55,118.97,471.922,298.219,339.151,75.947,494.844,342.625,231.909,287.563,582.097,582.632,379.673,414.554,304.321,337.177,479.528,416.423,471.179,548.758,463.165,267.089,35.32,257.253,490.651,125.72,455.934,0,384.879,260.76,161.017,428.2,461.364,228.954,422.509,126.942,318.663,201.005,422.417,183.225,690.977,365.043,429.163,236.758,553.099,127.773,199.38,472.438,529.84,357.523,571.36
Piła,560.603,587.452,529.11,88.7,630.986,309.073,516.231,423.086,237.231,223.701,121.345,376.701,256.851,470.043,447.553,217.276,140.053,550.486,732.736,305.892,173.223,558.924,539.623,320.015,658.735,318.074,375.701,384.879,0,350.119,256.656,95.973,796.172,448.941,716.857,492.798,294.114,336.14,173.496,529.619,169.244,547.505,632.717,142.982,356.59,396.511,199.702,273.98,648.744,642.973,204.805
Piotrków Trybunalski,296.122,334.238,209.742,263.509,295.604,230.913,232.665,80.445,422.253,370.996,417.91,342.254,131.792,152.374,98.368,172.99,469.056,194.28,283.826,308.38,316.807,223.542,286.409,47.432,259.658,328.952,173.929,260.76,350.119,0,153.165,262.06,342.822,107.714,252.865,226.711,78.49,86.608,450.749,431.768,524.838,197.896,222.771,210.24,312.926,135.973,157.932,232.265,320.121,314.054,405.22
Płock,268.248,274.07,357.851,170.046,356.861,81.941,380.774,228.554,246.34,251.021,382.181,450.862,164.213,300.483,261.598,126.677,349.081,367.815,428.456,416.989,263.249,284.798,196.337,125.484,476.063,176.376,324.165,161.017,256.656,153.165,0,227.65,479.813,178.176,389.856,198.042,184.818,88.546,333.609,330.987,490.427,314.266,378.386,125.321,419.254,108.948,57.839,338.593,466.835,373.91,370.81
Poznań,474.829,501.678,438.852,144.997,545.212,307.565,425.973,337.45,389.211,337.955,162.038,323.237,144.456,379.786,361.917,104.881,236.906,460.229,642.478,252.428,87.364,473.15,453.849,206.769,568.478,341.489,285.444,428.2,95.973,262.06,227.65,0,708.152,362.804,628.837,406.661,181.466,250.003,278.201,599.301,272.725,461.747,544.697,161.614,268.57,310.374,196.751,185.96,560.724,556.836,153.108
Przemyśl,324.159,456.16,320.077,605.821,195.762,500.744,398.284,387.418,685.974,713.309,789.865,610.828,558.231,325.372,250.528,515.302,811.368,246.942,93.325,576.954,621.835,195.205,473.647,391.765,230.858,616.009,434.486,461.364,796.172,342.822,479.813,708.152,0,272.403,91.576,310.395,414.827,405.034,785.51,569.793,900.203,155.008,166.998,545.0,582.27,395.582,492.693,517.373,342.619,138.707,687.206
Radom,187.781,302.432,291.271,362.331,186.916,199.107,321.435,198.425,384.336,469.818,516.353,466.65,256.188,238.421,83.805,271.432,567.878,195.907,250.663,432.776,441.203,114.854,254.603,141.017,270.135,314.372,357.861,228.954,448.941,107.714,178.176,362.804,272.403,0,193.59,165.802,190.099,113.602,558.637,399.945,632.587,124.746,209.478,318.128,424.534,104.15,265.82,343.873,310.155,204.994,512.97
Rzeszów,300.153,417.448,240.762,515.863,197.705,410.787,318.969,308.103,596.016,623.351,710.55,531.513,478.916,246.057,159.105,425.344,721.411,167.627,56.577,497.64,542.52,178.739,434.792,301.807,151.543,526.052,355.171,422.509,716.857,252.865,389.856,628.837,91.576,193.59,0,281.729,334.658,324.865,705.341,550.058,819.584,74.839,86.379,464.831,501.651,315.413,412.523,436.754,262.0,151.033,606.587
Siedlce,69.367,152.739,437.618,406.187,183.14,150.899,460.54,308.321,341.206,396.86,560.209,560.744,357.785,380.25,256.98,315.289,611.735,369.082,338.44,526.87,441.277,119.868,130.065,235.365,423.294,271.242,434.046,126.942,492.798,226.711,198.042,406.661,310.395,165.802,281.729,0,295.799,167.627,529.078,275.317,668.113,232.624,357.465,353.654,530.235,91.779,301.346,449.574,482.54,205.543,548.496
Sieradz,365.292,392.141,240.949,293.725,377.898,241.784,235.744,111.652,452.469,401.213,335.015,268.98,51.918,188.615,179.923,88.702,499.273,250.912,365.381,235.107,243.533,305.836,344.312,68.472,359.161,359.169,142.283,318.663,294.114,78.49,184.818,181.466,414.827,190.099,334.658,295.799,0,140.37,484.732,489.669,444.467,292.176,333.168,244.222,238.259,200.742,191.914,157.597,349.195,408.752,343.195
Skierniewice,237.12,274.482,297.514,249.529,289.004,120.902,320.437,168.217,304.803,357.017,403.551,404.086,201.127,240.146,142.746,158.631,455.077,254.997,355.589,370.212,284.619,216.942,226.654,78.707,329.225,234.839,277.388,201.005,336.14,86.608,88.546,250.003,405.034,113.602,324.865,167.627,140.37,0,439.095,376.385,513.044,247.353,311.473,198.585,375.166,77.451,146.277,294.505,407.728,305.296,393.427
Słupsk,604.412,560.456,655.436,200.4,734.039,380.051,678.358,526.139,195.35,124.678,313.843,594.186,402.575,598.068,550.606,325.527,67.182,665.4,736.065,523.377,347.716,661.977,445.583,423.069,773.648,300.8,550.194,422.417,173.496,450.749,333.609,278.201,785.51,558.637,705.341,529.078,484.732,439.095,0,500.726,229.987,649.929,674.804,251.235,589.43,498.935,302.126,448.628,764.777,745.397,422.96
Suwałki,279.478,130.99,642.674,443.009,400.205,249.115,665.597,513.377,321.443,377.098,752.85,753.384,550.425,585.306,475.074,507.929,569.063,587.175,641.931,719.51,633.917,379.267,146.029,428.005,661.403,194.624,626.686,183.225,529.619,431.768,330.987,599.301,569.793,399.945,550.058,275.317,489.669,376.385,500.726,0,863.002,537.068,601.188,382.713,725.124,299.798,374.092,644.463,701.865,465.758,743.385
Szczecin,737.606,764.455,633.053,257.414,807.989,570.342,620.173,600.227,377.718,355.549,111.401,391.744,407.233,573.986,624.694,367.658,162.83,654.429,836.679,320.935,286.521,735.927,716.626,469.546,762.678,483.48,479.644,690.977,169.244,524.838,490.427,272.725,900.203,632.587,819.584,668.113,444.467,513.044,229.987,863.002,0,717.062,728.176,311.908,379.867,565.689,452.066,394.471,744.203,812.151,213.398
Tarnobrzeg,255.967,438.521,264.91,460.894,175.084,335.197,343.117,216.273,520.426,568.382,615.296,555.661,345.429,270.205,104.136,370.375,666.442,191.775,126.582,521.788,566.668,134.553,390.693,246.838,175.692,450.462,379.319,365.043,547.505,197.896,314.266,461.747,155.008,124.746,74.839,232.624,292.176,247.353,649.929,537.068,717.062,0,89.879,409.261,526.907,256.164,356.953,462.01,287.255,137.454,631.843
